objname ra dec cutout_size E_B_V_SandF mean_E_B_V_SandF stdev_E_B_V_SandF max_E_B_V_SandF min_E_B_V_SandF AV_SandF E_B_V_SFD mean_E_B_V_SFD stdev_E_B_V_SFD max_E_B_V_SFD min_E_B_V_SFD AV_SFD errmsg
NGC2146A 95.98043 78.53001 5.0 0.0814 0.0791 0.0021 0.0824 0.0736 0.2524 0.0947 0.092 0.0025 0.0959 0.0856 0.2935 ""
NGC3726 173.33798 47.02922 5.0 0.0143 0.0143 0.0001 0.0146 0.014 0.0444 0.0167 0.0167 0.0002 0.017 0.0163 0.0517 ""
NGC3893 177.159 48.7109 5.0 0.0183 0.0183 0.0002 0.0187 0.018 0.0568 0.0213 0.0213 0.0002 0.0218 0.0209 0.066 ""
NGC3949 178.42415 47.85872 5.0 0.0185 0.0187 0.0004 0.02 0.0181 0.0573 0.0215 0.0217 0.0004 0.0233 0.0211 0.0666 ""
NGC4102 181.59603 52.71103 5.0 0.0174 0.0175 0.0002 0.0178 0.0172 0.0538 0.0202 0.0203 0.0002 0.0207 0.02 0.0626 ""
NGC0063 4.43964 11.45032 5.0 0.096 0.0957 0.0012 0.0987 0.0933 0.2975 0.1116 0.1113 0.0015 0.1148 0.1085 0.346 ""
NGC4383 186.35624 16.46999 5.0 0.0203 0.0204 0.0003 0.0211 0.02 0.0631 0.0237 0.0237 0.0003 0.0246 0.0233 0.0733 ""
NGC4501 187.99654 14.42027 5.0 0.0327 0.0325 0.0004 0.033 0.0312 0.1013 0.038 0.0378 0.0004 0.0383 0.0362 0.1178 ""
NGC4548 188.86023 14.49637 5.0 0.0326 0.033 0.0012 0.036 0.0312 0.1011 0.0379 0.0384 0.0014 0.0419 0.0363 0.1176 ""
NGC4579 189.43134 11.81819 5.0 0.035 0.0349 0.0008 0.0365 0.0329 0.1084 0.0407 0.0405 0.0009 0.0425 0.0382 0.1261 ""
NGC4689 191.93981 13.76286 5.0 0.0195 0.0197 0.0003 0.0207 0.019 0.0603 0.0226 0.0229 0.0004 0.024 0.0221 0.0702 ""
NGC4698 192.09548 8.48737 5.0 0.0223 0.0222 0.0002 0.0228 0.0219 0.069 0.0259 0.0258 0.0002 0.0265 0.0255 0.0802 ""
NGC4808 193.95386 4.30411 5.0 0.0316 0.0317 0.0004 0.0327 0.031 0.0981 0.0368 0.0368 0.0004 0.038 0.0361 0.114 ""
NGC3380 162.05083 28.6018 5.0 0.0217 0.0216 0.0006 0.0226 0.0206 0.0672 0.0252 0.0251 0.0007 0.0263 0.0239 0.0781 ""
NGC3684 171.79675 17.03014 5.0 0.0222 0.0222 0.0003 0.0225 0.0212 0.0689 0.0259 0.0258 0.0003 0.0261 0.0247 0.0801 ""
NGC4062 181.0158 31.89577 5.0 0.0212 0.0211 0.0003 0.022 0.0204 0.0656 0.0246 0.0246 0.0004 0.0256 0.0238 0.0763 ""
NGC4380 186.34241 10.01682 5.0 0.0203 0.0202 0.0005 0.021 0.0193 0.063 0.0236 0.0235 0.0005 0.0244 0.0225 0.0732 ""
NGC4523 188.45 15.16806 5.0 0.0339 0.0323 0.0024 0.0362 0.0276 0.1052 0.0395 0.0376 0.0027 0.0421 0.0321 0.1223 ""
NGC4536 188.61278 2.18824 5.0 0.0157 0.0157 0.0001 0.0159 0.0153 0.0487 0.0183 0.0182 0.0002 0.0185 0.0178 0.0566 ""
NGC4701 192.29835 3.38867 5.0 0.025 0.0251 0.0007 0.0257 0.0229 0.0775 0.0291 0.0292 0.0008 0.0299 0.0266 0.0901 ""
NGC5806 225.00172 1.89132 5.0 0.0437 0.0438 0.0006 0.0455 0.0427 0.1354 0.0508 0.0509 0.0007 0.0529 0.0496 0.1575 ""
NGC3020 147.52772 12.81356 5.0 0.0323 0.0315 0.0015 0.0341 0.029 0.1002 0.0376 0.0367 0.0018 0.0397 0.0337 0.1166 ""
NGC3547 167.48295 10.72103 5.0 0.0207 0.0206 0.0004 0.0216 0.0199 0.0643 0.0241 0.024 0.0005 0.0251 0.0231 0.0748 ""
NGC4438 186.94019 13.00889 5.0 0.0238 0.0237 0.0006 0.0248 0.0224 0.0738 0.0277 0.0276 0.0007 0.0288 0.026 0.0858 ""
NGC4498 187.91463 16.85282 5.0 0.0252 0.0251 0.0004 0.0257 0.0239 0.078 0.0293 0.0291 0.0005 0.0299 0.0278 0.0907 ""
