pgc objname RA DEC incl vrot diameter distance Distance+Extinction "distance reference" "Reference type" Mass "SFR W4" "SFR FUV" "SFR NUV"
35676 NGC3726 11.5558806 47.0290833 50.47 156.07 0.0941561624687171 13.440022630821629 13.111126270244489 13.20079517364502 "Tully Fisher" 14299447069.046679 0.5893041641341326 0.2434923831609258 0.34592216952048527
36875 NGC3893 11.8106075 48.7107662 59.88 148.07 0.044858913398781924 18.197008586099845 15.867189189515758 16.390792846679688 "Tully Fisher" 27430730340.184345 1.8479647199083629 0.48120776230595647 0.8537377741384289
37290 NGC3949 11.8949228 47.8587682 56.03 144.62 0.0376572628370163 18.569491014904624 18.037651840625628 17.97215461730957 "Tully Fisher" 16872693992.888224 1.132431993075786 0.4794003293732842 0.721594299789377
38392 NGC4102 12.1065433 52.7109722 58.66 158.02 0.04952776719563378 18.25576346188067 17.42368456099004 18.475662231445312 "Tully Fisher" 35938748993.40946 7.16386800717018 0.06571739666850945 0.13630238410645154
1160 NGC0063 0.2959778 11.4503333 74.09 122.09 0.028631806452626474 18.509726429316476 17.66769933818158 18.247356414794922 "Tully Fisher" 11882212213.911537 0.6257740853258625 0.03265830553995578 0.07244563447021891
41934 NGC4548 12.5906909 14.4960731 36.86 177.6 0.09243761882631846 15.624279522764855 15.135612484362087 15.98820972442627 Cepheid 32189009050.81737 0.42432266146181047 0.04967150438524818 0.08305743578178573
42168 NGC4579 12.6287586 11.8181349 41.86 249.53 0.08353120560454537 19.91590289057611 19.036188648350663 19.186697006225586 "Tully Fisher" 100615205875.34447 1.761928649510438 0.21146920000394293 0.39473312563712326
44086 NGC4808 12.9302658 4.3041769 69.21 126.22 0.039341303886342945 17.426091898259298 16.907523510523536 17.322084426879883 "Tully Fisher" 11660654781.692669 0.863142158324925 0.17061117939928727 0.27223771544760456
38150 NGC4062 12.0677323 31.8958247 70.02 142.48 0.0689999458032884 14.547889712157106 14.22525302681075 14.74348258972168 "Tully Fisher" 12759898670.53005 0.4462085110054022 0.07432942818557174 0.13422719275458744
53578 NGC5806 15.0001103 1.8912683 60.4 190.91 0.05044855713502177 20.691882329488966 20.00046072200618 21.4091796875 "Tully Fisher" 19888432802.580746 0.5670339659188942 0.09786077670282327 0.16787494232689748
43784 NGC4771 12.8892296 1.2691163 74.51 132.13 0.05162365498694302 17.947336268325266 17.448576424736938 19.615524291992188 "Tully Fisher" 20949522286.645355 0.3354973927133832 0.03171187709983824 0.06635693830881752
42857 NGC4654 12.7323923 13.1265165 59.78 149.58 0.07867717354393174 13.848412777219831 13.393682509803668 14.144906044006348 "Tully Fisher" 19421325094.19564 1.3759404792827483 0.22923167598975885 0.36187787765504054
49555 NGC5364 13.9366593 5.0146562 67.51 135.63 0.06336489938676021 15.631476426409531 14.527135922294532 14.079913139343262 "Tully Fisher" 16126206770.587574 0.5502470301591404 0.1743870583595579 0.23416323460708616
7849 NGC0803 2.0624167 16.0309444 73.11 122.15 0.044550106811055194 21.428906011200596 19.469733187259184 22.315160751342773 "Tully Fisher" 13673805849.317852 0.33076834509124703 0.057054338360871024 0.08002247428777255
61742 NGC6643 18.3295444 74.5683889 62.72 169.16 0.055315742925435056 20.248833065305597 19.71787004621673 20.165088653564453 "Tully Fisher" 43802393782.820465 1.8552915491591653 nan 0.5203098132740419
32306 NGC3389 10.8077573 12.5331631 66.16 129.71 0.04465280541365052 19.31968317016924 18.957453526370895 20.539974212646484 "Tully Fisher" 7802898934.6395645 0.7152903367186132 0.252337241491253 0.3942178065969006
35797 NGC3733 11.5837825 54.8504969 74.92 107.62 0.056604212098401385 22.181964198002195 21.59633223613988 21.60727882385254 "Tully Fisher" 11612637314.973118 1.0323519373943941 0.006067604208355799 0.8970481119943
35931 NGC3756 11.6133416 54.2935902 62.19 145.92 0.03175767863272079 20.53997922510627 19.661651770467905 20.825721740722656 "Tully Fisher" 14020912436.256922 0.5739867520727595 0.11241505202133187 0.19494843801840328
47413 NGC5195 13.4998206 47.2660603 40.55 120.26 0.09159014564293742 7.5753028498840775 7.469989648595356 7.287858963012695 "Tully Fisher" 21646095274.889732 2.310743406050547 0.11526878695334614 0.8309411642141546
50895 NGC5523 14.2478719 25.317451 66.23 131.04 0.034028965744492164 21.53773355662177 20.952700249793388 20.258169174194336 "Tully Fisher" 14075399458.40075 0.24346414346837178 0.06797775290745382 0.11714520498366425
70569 NGC7497 23.1509352 18.177253 71.94 129.94 0.04590381172230277 16.603513514585092 16.059055536059336 16.017698287963867 "Tully Fisher" 7065945654.660097 0.4273368478762738 nan nan
39724 NGC4274 12.3307163 29.6143394 68.03 236.51 0.06051300912835023 19.408858775927794 19.014285037397535 19.706064224243164 "Tully Fisher" 58137926008.22322 0.7817550798157012 0.04623380283146335 0.10848021041042716
